,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
397,Marco Asensio,epl,0.45,0.34,0.39,0.77,0.63,0.31,2.58,5.26,5.88,3.53,1.57,0.11,0.18,0.24,2.46,0.34,0.39,4.93,0.67,1.57,26.15,4.82
398,Gabriel Martinelli,epl,0.29,0.16,0.29,0.31,0.31,0.23,5.12,2.05,11.39,2.08,0.96,0.14,0.15,0.25,1.76,0.16,0.67,3.01,0.22,0.96,25.63,6.97
399,Crysencio Summerville,epl,0.11,0.11,0.11,0.18,0.18,0.19,3.32,2.06,8.13,1.60,0.46,0.07,0.12,0.19,1.95,0.34,0.57,4.01,0.11,0.46,20.73,4.35
400,Omar Marmoush,epl,0.75,0.32,0.60,0.57,0.46,0.25,3.56,2.78,7.57,4.13,1.72,0.15,0.11,0.20,1.89,0.32,0.20,4.88,0.83,1.72,26.42,6.05
401,Noni Madueke,epl,0.37,0.21,0.37,0.37,0.37,0.25,6.48,3.70,10.76,3.45,1.33,0.11,0.11,0.16,1.66,0.12,0.37,4.11,0.50,1.33,28.12,8.14
402,Mohammed Kudus,epl,0.14,0.14,0.14,,0.25,0.10,3.74,2.66,7.61,2.60,,,,,,,,3.84,,,,4.43
403,Eberechi Eze,epl,0.21,0.31,0.21,0.32,0.30,0.20,2.55,3.30,5.82,3.65,1.03,0.06,0.08,0.16,2.03,0.34,0.24,4.72,0.45,1.03,22.13,3.48
404,Morgan Rogers,epl,0.31,0.24,0.31,0.22,0.22,0.21,3.30,3.70,5.47,1.86,0.68,0.16,0.12,0.15,1.49,0.50,0.09,3.14,0.40,0.68,17.48,4.22
405,Callum Hudson Odoi,epl,0.29,0.07,0.29,0.11,0.11,0.12,5.35,2.93,8.20,1.76,0.77,0.17,0.06,0.14,1.98,0.18,0.44,4.03,0.40,0.77,25.23,3.33
406,Phil Foden,epl,0.49,0.13,0.49,0.26,0.26,0.24,2.49,5.24,7.12,3.04,1.23,0.16,0.09,0.24,2.36,0.29,0.23,4.69,0.65,1.23,34.97,4.27
407,Antoine Semenyo,epl,0.25,0.11,0.25,0.27,0.27,0.17,4.18,3.19,8.14,3.49,1.10,0.07,0.08,0.14,1.35,0.30,0.25,3.77,0.33,1.10,25.19,5.64
408,Anthony Elanga,epl,0.24,0.39,0.24,0.16,0.16,0.21,3.57,1.92,6.97,1.49,0.67,0.16,0.11,0.18,1.68,0.12,0.27,3.60,0.67,0.67,22.22,3.80
409,Michail Antonio,epl,0.16,0.08,0.16,0.22,0.22,0.13,2.74,1.57,5.48,1.96,0.55,0.08,0.11,0.08,0.71,0.24,0.16,2.27,0.31,0.55,14.26,3.45
410,Richarlison,epl,0.77,0.26,0.64,0.71,0.61,0.17,1.91,2.17,4.72,3.32,1.28,0.19,0.19,0.15,0.77,0.00,0.38,1.91,0.26,1.28,14.43,6.13
411,George Hirst,epl,0.40,0.20,0.40,0.26,0.26,0.06,1.80,2.20,4.99,1.80,0.80,0.22,0.14,0.02,0.60,0.00,0.00,1.40,0.60,0.80,14.97,4.19
412,Dwight McNeil,epl,0.17,0.28,0.17,0.07,0.07,0.27,2.27,4.09,4.60,1.76,0.51,0.10,0.04,0.31,2.56,0.45,0.62,5.11,0.62,0.51,23.05,1.65
413,Evanilson,epl,0.43,0.00,0.43,0.52,0.48,0.07,1.18,0.90,4.07,2.93,1.32,0.15,0.17,0.07,1.04,0.19,0.00,2.60,0.33,1.32,11.63,5.30
414,Tyler Dibling,epl,0.11,0.00,0.11,0.13,0.13,0.08,3.58,3.15,4.81,1.50,0.48,0.07,0.09,0.07,1.07,0.43,0.05,2.94,0.21,0.48,18.65,2.14
415,Beto,epl,0.47,0.00,0.47,0.48,0.48,0.06,0.95,0.71,4.57,2.68,1.34,0.18,0.18,0.02,0.63,0.08,0.08,1.34,0.00,1.34,14.43,5.21
416,Nicolas Jackson,epl,0.44,0.20,0.44,0.57,0.57,0.17,2.41,1.70,5.90,3.15,1.32,0.14,0.18,0.08,1.29,0.17,0.03,3.12,0.37,1.32,14.99,5.77
417,Adama Traore,epl,0.16,0.32,0.16,0.21,0.21,0.23,4.90,3.23,8.39,2.04,0.70,0.08,0.10,0.22,1.88,0.27,0.75,3.71,0.48,0.70,23.13,4.95
418,Joao Pedro,epl,0.41,0.26,0.23,0.45,0.26,0.23,3.34,3.68,6.05,2.10,0.64,0.11,0.13,0.17,1.54,0.41,0.30,3.53,0.41,0.64,23.34,6.13
419,Carlos Alcaraz,epl,0.15,0.15,0.15,0.21,0.21,0.18,2.26,5.88,2.11,3.17,1.06,0.05,0.07,0.08,1.51,0.15,0.30,3.47,0.30,1.06,19.30,2.56
420,Abdul Fatawu Issahaku,epl,0.00,0.31,0.00,0.06,0.06,0.25,6.53,2.64,9.33,2.02,0.78,0.00,0.03,0.22,0.93,0.31,0.31,2.64,0.47,0.78,24.40,4.04
