,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
577,Pedro,seriea,0.49,0.24,0.44,0.32,0.28,0.16,3.52,4.54,6.06,2.15,0.98,0.2,0.13,0.17,1.51,0.59,0.15,3.81,0.39,0.98,22.62,4.25,37,1,18,31,13
578,Pedro Neto,epl,0.2,0.2,0.2,0.14,0.14,0.26,5.22,2.54,10.58,2.54,0.83,0.08,0.05,0.2,2,0,1.02,4.05,0.34,0.83,30.37,4.92,25,50,58,62,14
579,Pep Chavarria,laliga,0,0.04,0,0.05,0.05,0.06,1.93,4.22,5.09,0.4,0.07,0,0.13,0.07,0.84,0,0.55,2.22,0.07,0.07,18.77,1.13,27,3.5,75,75,3
580,Peque,laliga,0.09,0.09,0.09,0.15,0.15,0.11,0.94,2.44,3.1,1.03,0.28,0.09,0.15,0.08,1.03,0.38,0.09,2.63,0.19,0.28,13.9,2.35,,,,,
581,Peter Gonzalez,laliga,0,0,0,0.12,0.12,0.13,2.33,1.71,7.35,2.2,0.49,0,0.06,0.07,1.35,0,0.73,2.69,0.24,0.49,21.43,3.92,,,,,
582,Phil Foden,epl,0.49,0.13,0.49,0.26,0.26,0.24,2.49,5.24,7.12,3.04,1.23,0.16,0.09,0.24,2.36,0.29,0.23,4.69,0.65,1.23,34.97,4.27,24,130,56,55,14
583,Phil Harres,bundesliga,0.5,0.06,0.5,0.31,0.31,0.08,0.63,0.88,4.08,2.2,1,0.23,0.14,0.07,0.57,0,0.13,1.26,0.31,1,9.55,3.45,23,4.5,57,53,22
584,Philipp Hofmann,bundesliga,0.14,0.11,0.14,0.25,0.25,0.13,0.39,2.21,4.46,2.43,0.86,0.06,0.1,0.1,1.07,0.11,0,2.46,0.11,0.86,12.63,4.28,32,1.5,83,82,21
585,Phillip Tietz,bundesliga,0.3,0.1,0.25,0.29,0.25,0.07,0.4,1.89,5.38,2.29,0.7,0.11,0.11,0.07,1.05,0.05,0.05,2.29,0.25,0.7,15.05,3.84,27,5,60,56,24
586,Pietro Pellegri,seriea,0.6,0.15,0.6,0.11,0.11,0.14,2.71,1.81,6.63,1.66,0.75,0.36,0.06,0.05,1.51,0,0,3.02,0.45,0.75,14.32,3.17,24,2.5,25,19,0
587,Pontus Almqvist,seriea,0.07,0.14,0.07,0.15,0.15,0.17,3.18,1.06,6.85,1.84,0.64,0.04,0.08,0.11,1.06,0,0.14,2.26,0.21,0.64,19.06,4.31,25,2.5,30,37,5
588,Portu,laliga,0.26,0.26,0.26,0.05,0.05,0.29,2.6,2.21,10,0.91,0.26,0.29,0.05,0.25,1.69,0.26,0.39,3.12,0.78,0.26,19.87,3.64,32,2.5,3,13,3
589,Rafa Mir,laliga,0,0.37,0,0.44,0.44,0.13,0.74,1.29,2.21,3.32,0.55,0,0.13,0.07,0.37,0,0.18,0.92,0.55,0.55,12.36,2.77,27,0.8,19,17,5
